"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";
"Hotel Residencia";"2";"FRAY JUAN GIL";"AVDA. DEPORTES, 2";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300800";"";"";"920300800";"hotelfrayjuangil@hotmail.com";"www.hotelfrayjuangil.com";"";"";
"Hotel";"3";"TOROS DE GUISANDO";"AVDA. MADRID, S/N";"05270";"Ávila";"Tiemblo (El)";"TIEMBLO (EL)";"TIEMBLO (EL)";"600508040";"";"";"918627192";"correo@torosdeguisando.com";"www.torosdeguisando.com";"";"";
"Hostal";"2";"BELLAS";"CABALLEROS, 19";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920212910";"";"";"920251925";"reservas@hostalbellas.comadministracion@hostalbellas.comhostalbellas@hotmail.com";"www.hostalbellas.com";"";"";
"Hostal";"2";"HERMANOS CRUZ";"CTRA.N-501 AVILA-SALAMANCA KM 33";"05309";"Ávila";"Crespos";"CHAHERRERO";"CHAHERRERO";"674816080";"";"";"";"";"";"";"";
"Hostal";"1";"MIRA DE GREDOS";"CTRA. BARCO-PUERTO DEL PICO, S/N";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349023";"";"";"920 349023";"";"";"";"";
"Hostal";"1";"MESON EVA";"CTRA. MADRID-CORUÑA, KM. 103";"05290";"Ávila";"Sanchidrián";"SANCHIDRIAN";"";"920318043";"";"";"920318287";"";"";"";"";
"Hostal";"1";"EL ALBERCHE";"CTRA. AVILA-CASAVIEJA, 39";"05113";"Ávila";"Burgohondo";"BURGOHONDO";"BURGOHONDO";"920283034";"645802117";"";"";"albertoburgohondo@hotmail.com";"";"";"";
"Hotel";"3";"DON CARMELO";"PASEO DE DON CARMELO, 30";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920228050";"";"";"920251241";"informacion@hoteldoncarmelo.es";"www.hoteldoncarmelo.es";"";"";
"Hostal";"1";"LOS GALAYOS";"PARAJE DEL HUSERO";"05417";"Ávila";"Guisando";"GUISANDO";"";"920374242";"";"";"";"";"";"";"";
"Hostal Residencia";"2";"ALCANTARA";"ESTEBAN DOMINGO, 11";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920225003";"";"";"920250258";"halcantara@tpi.infomail.es";"www.paginasamarillas.es/on/line/halcantara";"";"";
"Hotel";"1";"LA CASONA";"CALLEJA, S/N";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360071";"";"";"920360071";"";"";"";"";
"Hotel";"3";"EL BODEGÓN";"PZA. CONDESTABLE DAVALOS, 2";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920371379";"";"";"920371820";"LosGalayos@Lycosmail.com";"http://members.es.tripod.de/hgalayos";"";"";
"Hostal";"2";"CASA FELIPE";"PLAZA DEL MERCADO CHICO, 12";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920213924";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"LUMI";"AVDA. PINTOR MARTINEZ VAZQUEZ, 1";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920371635";"";"";"";"";"";"";"";
"Hostal";"2";"LA PARAMERA";"AVDA. GREDOS, 60";"05112";"Ávila";"Navalmoral";"NAVALMORAL";"NAVALMORAL";"695854533";"659527486";"";"";"";"";"";"";
"Hostal";"2";"LOS CASTAÑUELOS";"CASTAÑUELOS, Nº 1";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920380684";"";"";"920380684";"informacion@loscastañuelos.com";"";"";"";
"Hotel";"3";"DRACO'S";"SERRALLO, 51";"05260";"Ávila";"Cebreros";"CEBREROS";"CEBREROS";"918630617";"918630529";"";"918632112";"info@hoteldracos.com; felix@hoteldracos.com";"www.hoteldracos.com";"";"";
"Pensión";"";"LA FLOR";"EL ESPINAR, S/N";"05293";"Ávila";"Peguerinos";"PEGUERINOS";"PEGUERINOS";"918983040";"";"";"";"";"";"";"";
"Pensión";"";"BERROCAL";"JOSE ANTONIO, 56";"05510";"Ávila";"Santa María del Berrocal";"SANTA MARIA DEL BERROCAL";"SANTA MARIA DEL BERROCAL";"920367236";"";"";"";"";"";"";"";
"Hotel Residencia";"2";"PALACIO DE MONJARAZ";"BRACAMONTE, 6";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920332070";"627531154";"";"";"palaciodemonjaraz@gmail.com";"www.palaciodemonjaraz.com";"";"";
"Hostal";"1";"MAINZ";"AVDA. CASTILLA Y LEON, 9";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"918665519";"639120014";"";"";"";"www.turismainz.com";"";"";
"Hostal Residencia";"2";"PEDRO`S";"AVDA. RAMON Y CAJAL, 3";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920380951";"666389322";"";"";"";"";"";"";
"Hostal Residencia";"1";"JESUS";"C/ CAMARGO, 16";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360848";"";"";"";"";"";"";"";
"Hostal";"1";"DEL CAMPO";"EUSEBIO REVILLA, 9";"05200";"Ávila";"Arévalo";"AREVALO";"";"920302496";"920301681";"";"920302496";"";"";"";"";
"Hostal";"2";"LAS CRUCERAS";"POBLADO DE LAS CRUCERAS, 5";"05278";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"918625694";"";"";"";"";"";"";"";
"Hostal";"2";"SAN SEGUNDO";"C/ SAN SEGUNDO, 28";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920252590";"";"";"920252790";"hotel@hsansegundo.com";"";"";"";
"Hostal Residencia";"1";"AVENIDA";"AVDA. CONSTITUCION, 48";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920370988";"";"";"";"hostal@hostal-avenida.com";"";"";"";
"Hostal Residencia";"2";"SAN JUAN";"COMUNEROS DE CASTILLA Nº 3";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920251475";"";"";"920251475";"hostalsanjuanavila@hotmail.com";"";"";"";
"Hostal";"2";"SANCHO DE ESTRADA";"CASTILLO DE VILLAVICIOSA";"05130";"Ávila";"Solosancho";"VILLAVICIOSA";"VILLAVICIOSA";"920291082";"";"";"920293460";"castillo@hotelesmayoral.com";"www.hotelesmayoral.com";"";"";
"Hostal Residencia";"1";"ALFONSO";"AVENIDA DE LA CONSTITUCION,  8";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349006";"625418728";"";"";"alfonsomartin_3@hotmail.com";"";"";"";
"Hostal";"2";"MARJI";"CALVO SOTELO 64";"05410";"Ávila";"Mombeltrán";"MOMBELTRAN";"MOMBELTRAN";"920386031";"";"";"";"";"";"";"";
"Hotel";"2";"EL MILANO REAL";"TOLEO S/N.";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349108";"920349156";"";"";"info@elmilanoreal.com";"www.elmilanoreal.com";"";"";
"Hotel";"4";"PALACIO DE LOS VELADA";"PLAZA DE LA CATEDRAL Nº 10";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920255100";"";"";"920254900";"palaciodelosvelada@veladahoteles.com";"www.veladahoteles.com";"";"";
"Hostal";"1";"J. J.";"CTRA. DEL BARCO S/N";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"";"920349058";"";"";"";"";"";"";"";
"Hostal";"2";"BARBACEDO";"MIGUEL GALLEGO Nº 2";"05461";"Ávila";"Mijares";"MIJARES";"MIJARES";"920385411";"920385411";"";"920385144";"irsulam@sescam.jccm.es";"";"";"";
"Hotel";"3";"EXCELSIOR (CIERRE TEMPORAL)";"ANICETO MARINAS, 26";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918971414";"918972475";"918972228";"918971452";"reservashotelexcelsior@infornavas.com";"";"";"";
"Hostal Residencia";"2";"DON DIEGO";"MARQUES DE CANALES Y CHOZAS, 5";"05000";"Ávila";"Ávila";"AVILA";"AVILA";"920255475";"";"";"920254549";"";"";"";"";
"Hostal";"2";"CHICO";"LOS GUIJUELOS Nº 1";"05420";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"SOTILLO DE LA ADRADA";"918668267";"918668409";"";"";"";"";"";"";
"Hostal Residencia";"1";"ESTACION";"AVDA. ESTACIÓN (ESTACION RENFE)";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920250093";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"EL PINAR DE AVILA";"POLIGONO INDUSTRIAL LAS HERVENCIAS";"05004";"Ávila";"Ávila";"AVILA";"AVILA";"920254675";"920255071";"";"920352394";"";"";"";"";
"Hostal Residencia";"1";"LA TABERNA";"CARRELLANA, 33";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"";"920370395";"";"";"920370395";"t-delcastillo75@yahoo.es";"";"";"";
"Hostal";"2";"LA POSADA";"ESQUINILLA, 9";"05461";"Ávila";"Mijares";"MIJARES";"PINOSA";"920385347";"";"";"";"";"";"";"";
"Hostal";"2";"LA ESTACION";"CARRETERA DE SALAMANCA, 23";"05164";"Ávila";"Riocabado";"RIOCABADO";"RIOCABADO";"920240560";"";"";"";"";"";"";"";
"Hostal";"2";"LAS FUENTES";"POL. IND. TIERRAS DE AREVALO";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920303709";"920303767";"";"920301656";"";"";"";"";
"Hostal Residencia";"1";"LA MAJA";"LA MAJADA, Nº 2";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"";"920349065";"";"";"";"";"";"";"";
"Pensión";"";"AVENIDA";"AVDA. CASTILLA Y LEON, 34";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"";"918671278";"";"";"";"";"";"";"";
"Hotel Residencia";"4";"REINA ISABEL";"PASEO DE LA ESTACIÓN, 17";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920251022";"";"";"920251173";"hotel@reinaisabel.com";"www.reinaisabel.com";"";"";
"Hotel";"4";"PARADOR RAIMUNDO DE BORGOÑA";"MARQUES DE CANALES Y CHOZAS Nº 2";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211340";"";"";"920226166";"avila@parador.es";"www.parador.es";"Si";"";
"Hotel";"3";"PARADOR DE GREDOS";"CTRA. AV-941, KM. 10";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"*DISEMINADO*";"920348048";"";"";"920348205";"gredos@parador.es; gaspar.valtes@parador.es";"";"Si";"";
"Hostal";"2";"OREJAS";"VILLAFRANCA, 8-2º";"24001";"León";"León";"LEON";"LEON";"987252909";"";"";"987252909";"reservas@hostal-orejas.es";"www.hostal-orejas.es";"";"";
"Hostal";"1";"ESPAÑA";"CARMEN, 3";"24001";"León";"León";"LEON";"LEON";"987236014";"";"";"";"";"";"";"";
"Hotel";"3";"MADRID";"AVDA. PUEBLA, 44";"24402";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987411550";"";"";"987411861";"hotelmadridponferrada@hotmail.com";"hotelmadridponferrada.com";"";"";
"Hostal";"1";"PEÑASANTA";"PRINCIPAL, S/N";"24916";"León";"Oseja de Sajambre";"SOTO DE SAJAMBRE";"";"987740395";"";"";"";"";"";"";"";
"Hostal";"1";"EZEQUIEL";"CTRA. DE LA ESTACION, 18";"24680";"León";"Villamanín";"VILLAMANIN DE LA TERCIA";"VILLAMANIN DE LA TERCIA";"987598219";"";"";"987598513";"";"";"";"";
"Hostal";"2";"ABASCAL";"EL SALVADOR, S/N";"24915";"León";"Posada de Valdeón";"POSADA DE VALDEON";"POSADA DE VALDEON";"987740507";"";"";"987740507";"";"";"";"";
"Pensión";"";"LA MONTAÑESA";"PZA. MAYOR, 10";"24240";"León";"Santa María del Páramo";"SANTA MARIA DEL PARAMO";"";"987350037";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"ALVAREZ";"BURGO NUEVO, 3";"24001";"León";"León";"LEON";"LEON";"987072520";"607250088";"";"";"hostal-alvarez@ono.com";"";"";"";
"Pensión";"";"MELANY";"PALENCIA, AVENIDA, 4-1º-I";"24009";"León";"León";"LEON";"LEON";"987241075";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"SAN MARTIN";"TORRES DE OMAÑA, PLAZA, 1";"24003";"León";"León";"LEON";"LEON";"987875187";"987074186";"";"987875249";"sanmartinhostal@hotmail.com";"www.sanmartinhostales.com";"";"";
"Hostal Residencia";"1";"OVIEDO";"ROMA, AVENIDA, 26";"24001";"León";"León";"LEON";"LEON";"987222236";"";"";"";"hostalov@ono.com";"";"";"";
"Hostal Residencia";"2";"LA PESETA";"PZA. SAN BARTOLOME, 3";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987617275";"";"";"987615300";"info@restaurantelapeseta.com";"www.restaurantelapeseta.com";"";"";
"Hostal Residencia";"1";"SAN CRISTOBAL";"CTRA. MADRID-CORUÑA, KM. 303";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"BAÑEZA (LA)";"987641068";"";"";"";"";"";"";"";
"Pensión";"";"LA PALOMA";"EL PUENTE VIEJO, 30";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"";"987568748";"";"";"";"";"";"";"";
"Pensión";"";"ISABEL";"CARRETERA SANTANDER, Nº 9";"24913";"León";"Boca de Huérgano";"PORTILLA DE LA REINA";"";"987740420";"";"";"";"";"";"";"";
"Hostal";"1";"ORDOÑEZ DE CELIS";"RAMON Y CAJAL, 5";"24640";"León";"Robla (La)";"ROBLA (LA)";"ROBLA (LA)";"987572342";"";"";"987570150";"celisordonez@hotmail.com";"";"";"";
"Hostal Residencia";"1";"ROMA";"ASTORGA, 56";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"";"987640589";"";"";"";"";"";"";"";
"Pensión";"";"ROMA";"ROMA, AVENIDA, 4";"24001";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"LONDRES";"AVDA. DE ROMA, 1";"24001";"León";"León";"LEON";"LEON";"987222274";"";"";"";"";"www.hostallondres.com";"";"";
"Hostal Residencia";"1";"MODERNO";"AVDA. CONSTITUCION, 97";"24800";"León";"Cistierna";"CISTIERNA";"CISTIERNA";"987701138";"";"";"";"";"";"";"";
"Hostal";"1";"CENTRAL";"AVDA. ASTORGA, 85";"24198";"León";"Valverde de la Virgen";"VIRGEN DEL CAMINO (LA)";"VIRGEN DEL CAMINO (LA)";"987302041";"";"";"987302074";"";"";"";"";
"Pensión";"";"CENTRAL";"CTRA. VILLABLINO, S/N";"24140";"León";"Villablino";"VILLASECA DE LACIANA";"";"987483153";"";"";"";"";"";"";"";
"Hostal";"1";"GARCIA";"CTRA. MAGDALENA-BELMONTE, KM. 33. LEON-VILLABLINO,";"24144";"León";"San Emiliano";"VILLASECINO";"VILLASECINO";"987594096";"";"";"";"";"";"";"";
"Pensión";"";"CASA MANOLO";"AVDA. VALDES, 35- 4º DRCHA.";"24400";"León";"Ponferrada";"PONFERRADA";"";"987411017";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"LA MADRILEÑA";"ANTOLIN LOPEZ PELAEZ, 4";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987412857";"";"";"";"";"";"";"";
"Pensión";"";"CENTRAL";"PADRE ISLA, 44";"24800";"León";"Cistierna";"CISTIERNA";"";"987701202";"";"";"";"";"";"";"";
"Pensión";"";"GARCIA";"BAJADA POSTIGO, 3";"24700";"León";"Astorga";"ASTORGA";"";"987616046";"";"";"";"";"";"";"";
"Pensión";"";"GREDOS";"EL MATO, 2";"24140";"León";"Villablino";"VILLASECA DE LACIANA";"";"987483016";"";"";"";"";"";"";"";
"Pensión";"";"FERNANDEZ";"PLAZA DEL AYUNTAMIENTO , Nº 16";"24520";"León";"Vega de Valcarce";"VEGA DE VALCARCE";"VEGA DE VALCARCE";"987543027";"657097954";"";"";"MORIRDELOVE@HOTMAIL.COM";"";"";"";
"Pensión";"";"EL CANTABRICO (BAJA TEMPORAL)";"SIERRA PAMBLEY, 8";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987470033";"";"";"";"";"";"";"";
"Pensión";"";"EL BODEGON";"AVDA. ASTURIAS, 13";"24100";"León";"Villablino";"VILLABLINO";"";"987470017";"";"";"";"";"";"";"";
"Pensión";"";"BEGOÑA";"C/  DE LOS LLANOS, 2";"24915";"León";"Posada de Valdeón";"POSADA DE VALDEON";"POSADA DE VALDEON";"987740516";"";"";"";"";"";"";"";
"Pensión";"";"NISTAL";"PZA. GENERALISIMO, 63";"24735";"León";"Castrocontrigo";"CASTROCONTRIGO";"";"987660118";"";"";"";"";"";"";"";
"Pensión";"";"NAGASAKY";"REINO DE LEON, 89";"24680";"León";"Villamanín";"VILLAMANIN DE LA TERCIA";"";"987598064";"";"";"";"";"";"";"";
"Hostal";"1";"EL CRUCE";"SAN SALVADOR, 37";"24500";"León";"Villafranca del Bierzo";"VILLAFRANCA DEL BIERZO";"";"987542469";"";"";"987542469";"";"";"";"";
"Pensión";"";"LA ASTURIANA";"PLAZA DE LESMES FRANCO, 2";"24320";"León";"Sahagún";"SAHAGUN";"";"987780073";"";"";"";"";"";"";"";
"Pensión";"";"ORIENTAL";"CTRA. MADRID-CORUÑA, KM. 303";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"BAÑEZA (LA)";"987640433";"";"";"";"";"";"";"";
"Hostal";"1";"EL TUNEL";"AVDA. SANTA BARBARA, 88";"24370";"León";"Torre del Bierzo";"TORRE DEL BIERZO";"TORRE DEL BIERZO";"987536014";"";"";"";"";"";"";"";
"Hotel";"4";"CONDE LUNA";"INDEPENDENCIA, 7";"24003";"León";"León";"LEON";"LEON";"987206600";"";"";"987212752";"reservas@hotelcondeluna.es";"wwwhotelcondeluna.es";"";"";
"Pensión";"";"MARCOS";"CTRA. DE ORBIGO, 39";"24393";"León";"Santa Marina del Rey";"SANTA MARINA DEL REY";"";"987377246";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"CORUÑA";"AVDA. PONFERRADA, 72";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987615009";"987602761";"";"987615009";"reservas@reservascoruña.telefonica.net";"www.reservascoruña.net";"";"";
"Hotel Residencia";"3";"HOTEL RIOSOL";"PALENCIA, AVENIDA, 3";"24009";"León";"León";"LEON";"LEON";"987216650";"";"";"987216997";"reservas@hotelriosolleon.com";"www.hotelriosolleon.com";"";"";
"Pensión";"";"ROJO";"C/ SANTIAGO, 8";"24915";"León";"Posada de Valdeón";"CORDIÑANES DE VALDEON";"";"987740523";"";"";"";"";"";"";"";
"Pensión";"";"EL AUSENTE";"PUERTO DE SAN ISIDRO";"24855";"León";"Puebla de Lillo";"PUEBLA DE LILLO";"PUEBLA DE LILLO";"987731080";"";"";"";"elausente@wanadoo.es";"www.san-isidrosky.com";"";"";
"Hostal";"2";"MIRALRIO";"DR. GONZALEZ ALVAREZ, S/N";"24270";"León";"Carrizo";"CARRIZO DE LA RIBERA";"CARRIZO DE LA RIBERA";"987357011";"";"";"";"";"";"";"";
"Pensión";"";"FUERTES";"AVDA. MADRID, 54";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987617458";"";"";"";"";"";"";"";
"Hostal";"1";"BAYON";"ALCAZAR DE TOLEDO, 6";"24001";"León";"León";"LEON";"LEON";"987231446";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"SAN MIGUEL";"LUCIANA FERNANDEZ, 2";"24400";"León";"Ponferrada";"PONFERRADA";"";"987411047";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"JULI";"REAL, 58";"24710";"León";"San Justo de la Vega";"SAN JUSTO DE LA VEGA";"SAN JUSTO DE LA VEGA";"987617632";"987602261";"";"";"";"";"";"";
"Hotel";"3";"QUINDOS";"GRAN VIA DE SAN MARCOS, 38";"24002";"León";"León";"LEON";"LEON";"987236200";"";"";"987242201";"";"";"";"";
"Hostal";"1";"SAMOA";"ALTO DE LEON, 1";"24200";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"";"987750336";"";"";"";"";"";"";"";
"Pensión";"";"INDUSTRIAL";"RAMON Y CAJAL, 12";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"";"987641042";"";"";"";"";"";"";"";
"Pensión";"";"MARGA I";"SANTA LUCIA, 2";"24100";"León";"Villablino";"VILLABLINO";"";"987480173";"";"";"";"";"";"";"";
"Hotel Residencia";"2";"LA RUTA GALLEGA";"CTRA. MADRID-CORUÑA, KM. 315";"24794";"León";"Riego de la Vega";"RIEGO DE LA VEGA";"RIEGO DE LA VEGA";"987605509";"";"";"987605519";"hotelrutagallega@telefonica.net";"";"";"";
